key,date,value
alec tarantino,2011-04-22,851
alec tarantino,2011-04-23,0
alec tarantino,2011-04-24,37
alec tarantino,2011-04-25,0
alec tarantino,2011-04-26,246
alec tarantino,2011-04-27,0
alec tarantino,2011-04-28,371
alec tarantino,2011-04-29,31
alec tarantino,2011-04-30,0
alec tarantino,2011-05-01,0
alec tarantino,2011-05-02,102
alec tarantino,2011-05-03,0
alec tarantino,2011-05-04,0
alec tarantino,2011-05-05,0
alec tarantino,2011-05-06,234
alec tarantino,2011-05-07,55
alec tarantino,2011-05-08,386
alec tarantino,2011-05-09,159
alec tarantino,2011-05-10,0
alec tarantino,2011-05-11,13
alec tarantino,2011-05-12,56
alec tarantino,2011-05-13,0
alec tarantino,2011-05-14,0
alec tarantino,2011-05-15,0
alec tarantino,2011-05-16,0
alec tarantino,2011-05-17,81
alec tarantino,2011-05-18,0
alec tarantino,2011-05-19,0
alec tarantino,2011-05-20,0
alec tarantino,2011-05-21,0
alec tarantino,2011-05-22,0
alec tarantino,2011-05-23,0
alec tarantino,2011-05-24,189
alec tarantino,2011-05-25,268
alec tarantino,2011-05-26,0
alec tarantino,2011-05-27,0
alec tarantino,2011-05-28,229
alec tarantino,2011-05-29,0
alec tarantino,2011-05-30,130
alec tarantino,2011-05-31,0
alec tarantino,2011-06-01,72
alec tarantino,2011-06-02,0
alec tarantino,2011-06-03,0
alec tarantino,2011-06-04,33
alec tarantino,2011-06-05,0
alec tarantino,2011-06-06,0
alec tarantino,2011-06-07,0
alec tarantino,2011-06-08,368
alec tarantino,2011-06-09,0
alec tarantino,2011-06-10,0
alec tarantino,2011-06-11,0
alec tarantino,2011-06-12,0
alec tarantino,2011-06-13,0
alec tarantino,2011-06-14,0
alec tarantino,2011-06-15,0
alec tarantino,2011-06-16,0
alec tarantino,2011-06-17,0
alec tarantino,2011-06-18,0
alec tarantino,2011-06-19,0
alec tarantino,2011-06-20,0
alec tarantino,2011-06-21,0
alec tarantino,2011-06-22,16
alec tarantino,2011-06-23,175
alec tarantino,2011-06-24,251
alec tarantino,2011-06-25,0
alec tarantino,2011-06-26,0
alec tarantino,2011-06-27,0
alec tarantino,2011-06-28,0
alec tarantino,2011-06-29,0
alec tarantino,2011-06-30,0
alec tarantino,2011-07-01,0
alec tarantino,2011-07-02,0
alec tarantino,2011-07-03,0
alec tarantino,2011-07-04,0
alec tarantino,2011-07-05,0
alec tarantino,2011-07-06,0
alec tarantino,2011-07-07,0
alec tarantino,2011-07-08,0
alec tarantino,2011-07-09,0
alec tarantino,2011-07-10,0
alec tarantino,2011-07-11,0
alec tarantino,2011-07-12,0
